GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HD01
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,Geographic area,Population
0100000US,,United States,0600000US0900308490,0900308490,"United States - Connecticut - Bristol town, Hartford County","Bristol town, Hartford County",60477
0100000US,,United States,1600000US0918430,0918430,United States - Connecticut - Danbury city,Danbury city,80893
0100000US,,United States,0600000US0900118500,0900118500,"United States - Connecticut - Danbury town, Fairfield County","Danbury town, Fairfield County",80893
0100000US,,United States,0600000US0900322630,0900322630,"United States - Connecticut - East Hartford town, Hartford County","East Hartford town, Hartford County",51252
0100000US,,United States,1600000US0922700,0922700,United States - Connecticut - East Hartford CDP,East Hartford CDP,51252
0100000US,,United States,0600000US0900126620,0900126620,"United States - Connecticut - Fairfield town, Fairfield County","Fairfield town, Fairfield County",59404
0100000US,,United States,0600000US0900133620,0900133620,"United States - Connecticut - Greenwich town, Fairfield County","Greenwich town, Fairfield County",61171
0100000US,,United States,0600000US0900935650,0900935650,"United States - Connecticut - Hamden town, New Haven County","Hamden town, New Haven County",60960
0100000US,,United States,1600000US0937000,0937000,United States - Connecticut - Hartford city,Hartford city,124775
0100000US,,United States,0600000US0900337070,0900337070,"United States - Connecticut - Hartford town, Hartford County","Hartford town, Hartford County",124775
0100000US,,United States,0600000US0900344700,0900344700,"United States - Connecticut - Manchester town, Hartford County","Manchester town, Hartford County",58241
0100000US,,United States,1600000US0946450,0946450,United States - Connecticut - Meriden city,Meriden city,60868
0100000US,,United States,0600000US0900946520,0900946520,"United States - Connecticut - Meriden town, New Haven County","Meriden town, New Haven County",60868
0100000US,,United States,1700000US0947500,0947500,United States - Connecticut - Milford city,Milford city,52759
0100000US,,United States,1600000US0947515,0947515,United States - Connecticut - Milford city (balance),Milford city (balance),51271
0100000US,,United States,0600000US0900947535,0900947535,"United States - Connecticut - Milford town, New Haven County","Milford town, New Haven County",52759
0100000US,,United States,1600000US0950370,0950370,United States - Connecticut - New Britain city,New Britain city,73206
0100000US,,United States,0600000US0900350440,0900350440,"United States - Connecticut - New Britain town, Hartford County","New Britain town, Hartford County",73206
0100000US,,United States,1600000US0952000,0952000,United States - Connecticut - New Haven city,New Haven city,129779
0100000US,,United States,0600000US0900952070,0900952070,"United States - Connecticut - New Haven town, New Haven County","New Haven town, New Haven County",129779
0100000US,,United States,1600000US0955990,0955990,United States - Connecticut - Norwalk city,Norwalk city,85603
0100000US,,United States,0600000US0900156060,0900156060,"United States - Connecticut - Norwalk town, Fairfield County","Norwalk town, Fairfield County",85603
